StudentID,FirstName,LastName,DateOfBirth,Email,Phone,Address,Department,EnrollmentYear,CGPA,Maths_Marks,Programming_Marks,Data Structures_Marks,Database_Marks,AI_Marks,Maths_Assignment_Status,Programming_Assignment_Status,Data Structures_Assignment_Status,Database_Assignment_Status,AI_Assignment_Status,Semester,Attendance_Percentage,Course,Building_Block,Fees_Status
S00001,Christina,Rose,2003-01-23,jamesveronica@gmail.com,(906)200-7508,"225 Russell Ford, South Kathyville, ME 97550",BBA,2016,3.81,53,96,99,90,74,Submitted,Submitted,Submitted,Submitted,Submitted,5,98,BSc CS,B Block,Pending
S00002,Natalie,Butler,2000-07-06,robbinsdan@hotmail.com,+1-700-914-2815x5304,"7024 Ashlee Springs, South Robertomouth, NC 13450",CSE,2017,3.01,43,97,97,40,52,Submitted,Submitted,Submitted,Pending,Submitted,1,65,B.Arch,D Block,Paid
S00003,Joshua,Sheppard,2001-02-26,christinegray@gmail.com,442.303.6181,"8331 Rodgers Bypass, Brownshire, DE 28879",CSE,2018,2.93,54,67,88,68,60,Submitted,Submitted,Submitted,Submitted,Submitted,4,80,B.Tech,B Block,Pending
S00004,David,Anderson,2005-08-12,tburton@gmail.com,(456)224-8504,"PSC 9514, Box 1240, APO AP 24643",BBA,2017,2.93,46,95,63,95,84,Submitted,Pending,Submitted,Submitted,Late,7,62,BBA,D Block,Pending
S00005,Donna,Hensley,2002-01-06,thomaspearson@campbell-johnson.info,(438)895-2654x5207,"864 Christensen Shores Suite 880, Danielburgh, KS 55848",Architecture,2021,3.08,81,74,58,46,83,Submitted,Submitted,Submitted,Pending,Submitted,5,98,B.Tech,A Block,Pending
S00006,Robert,Baker,2003-06-20,hinesjonathan@harris-shaffer.info,7275886863,"701 Amanda Inlet, Palmerfurt, OR 10521",BBA,2017,3.25,54,70,60,67,84,Pending,Submitted,Submitted,Submitted,Submitted,6,71,B.Tech,Admin Block,Partial
S00007,Beverly,Wood,2003-09-30,griffithfred@hall.biz,651.588.1281x049,"PSC 1274, Box 7597, APO AP 26736",ME,2019,3.55,94,47,59,97,87,Submitted,Pending,Submitted,Submitted,Submitted,1,75,BBA,D Block,Partial
S00008,Tracy,Scott,2004-10-13,thomasbenjamin@yahoo.com,575.819.6122x60319,"76690 Lee Via Apt. 981, East Alexburgh, PA 49567",CE,2021,3.98,75,95,71,86,77,Submitted,Submitted,Pending,Submitted,Pending,2,95,BBA,Admin Block,Paid
S00009,Christina,Larsen,2001-01-24,daniel55@boone-wilson.com,5709419149,"029 Nicole Dale Apt. 879, Tracyborough, OK 75661",EEE,2017,2.19,96,60,43,40,54,Submitted,Pending,Submitted,Submitted,Submitted,1,62,B.Arch,B Block,Paid
S00010,Robert,Buchanan,1999-08-30,karen68@schultz.biz,+1-050-941-3936,"293 Berg Ramp Suite 892, Foleyfort, NV 96993",ME,2023,2.71,92,48,57,43,73,Submitted,Submitted,Submitted,Pending,Submitted,8,95,BCA,A Block,Paid
S00011,Ronald,Lester,2001-06-20,patricia85@hotmail.com,802-747-6237,"4695 Leslie Orchard Apt. 802, West Stevenshire, DC 16739",CE,2019,3.22,66,96,91,84,55,Submitted,Submitted,Submitted,Submitted,Submitted,1,60,BSc CS,B Block,Paid
S00012,Stacy,Bennett,2003-12-02,neilanderson@gmail.com,+1-452-251-2595x0121,"96999 Shannon Plaza Apt. 262, Ryanton, CO 24577",ME,2020,2.98,53,75,42,97,98,Submitted,Late,Submitted,Pending,Submitted,1,80,BSc CS,C Block,Partial
S00013,Brianna,Edwards,2000-03-30,nealmichael@yahoo.com,+1-216-993-7023x6705,"PSC 1038, Box 7848, APO AE 79696",Architecture,2022,2.09,51,85,70,41,54,Submitted,Submitted,Late,Pending,Late,2,88,B.Arch,D Block,Paid
S00014,Caitlin,Randall,2006-07-25,nelsonkristin@may.biz,208.195.1892x28339,"152 Rogers Fords Apt. 379, South Ashley, LA 68858",CSE,2015,2.85,76,90,98,81,95,Submitted,Submitted,Late,Submitted,Submitted,5,70,BBA,A Block,Partial
S00015,Steven,Kent,2000-09-29,jennifervasquez@ward.com,(952)985-4019x141,"70725 Baker Creek Suite 642, New Mitchell, OR 06069",Architecture,2019,2.62,82,82,64,77,75,Late,Submitted,Pending,Submitted,Pending,1,97,BBA,D Block,Paid
S00016,Alexandra,Daniel,2004-08-10,xwall@hotmail.com,+1-754-435-1264,"804 Austin Island, West Suzanneport, OH 05985",ME,2016,3.45,62,72,91,83,41,Submitted,Submitted,Submitted,Submitted,Submitted,1,87,BSc CS,A Block,Paid
S00017,Kathleen,Henderson,2002-05-11,lambertcarly@yahoo.com,805.820.7427x7364,"5822 Victor Fields, Bettymouth, DE 69681",BBA,2023,3.98,42,62,88,88,67,Pending,Submitted,Pending,Pending,Pending,4,95,B.Tech,D Block,Paid
S00018,Michael,Mcguire,2004-07-16,jacobzhang@hotmail.com,(356)559-9053x413,"350 Montgomery Ranch, Clarkton, NY 52307",ME,2016,3.97,88,82,48,96,52,Submitted,Submitted,Submitted,Submitted,Submitted,1,82,BCA,B Block,Paid
S00019,Darryl,Soto,2000-01-14,steven15@gmail.com,833-163-0093x7223,"69029 Sarah Drives, Zacharymouth, AR 93187",CSE,2016,2.44,85,50,84,86,63,Submitted,Submitted,Submitted,Submitted,Submitted,4,66,BBA,D Block,Pending
S00020,Joe,Parker,2003-08-07,adavis@hotmail.com,088-652-3155x356,"Unit 7432 Box 2635, DPO AP 45085",BBA,2021,2.42,80,86,51,81,81,Submitted,Late,Submitted,Late,Submitted,5,96,B.Arch,C Block,Paid
